director_id,movie_id
0000116,0120338
0000184,0076759
0011470,0298148
0000229,0083866
0000184,0120915
0000600,0145487
0000184,0121766
0001392,0167260
0000600,0316654
0000154,0335345
0000229,0107290
0001392,0167261
0004056,0266543
0000709,0109830
0021249,0110357
0001060,0241527
0001392,0120737
0000184,0121765
0549658,0086190
0000386,0116629
0893659,0325980
0796117,0167404
0449984,0080684
0001565,0330373
0001060,0099785
0011470,0363771
0905152,0234215
0005366,0290002
0011470,0126029
0001060,0295297
0083348,0317705
0000165,0170016
0000229,0073195
0230032,0198781
0000318,0096895
0001756,0119654
0190859,0304141
0105169,0120363
0001723,0315327
0000229,0082971
0000957,0117998
0959034,0259446
0718645,0087332
0000976,0086960
0000229,0407304
0000709,0162222
0000229,0119567
0796117,0286106
0711840,0266915
0001060,0107614
0958387,0099653
0166256,0103639
0000229,0120815
0001392,0360717
0000247,0120755
0001741,0290334
0005366,0295178
0000709,0088763
0229694,0396269
0000318,0367594
0005366,0145660
0634240,0372784
0000116,0103064
0001243,0070047
0814085,0209163
0000881,0120591
0281808,0031381
0000881,0213149
0000229,0097576
0201509,0351283
0005124,0114709
0001756,0120912
0000631,0172495
0000386,0319262
0510731,0356910
0000126,0099348
0001708,0112462
0001112,0106977
0001752,0240772
0583600,0207201
0000583,0177971
0001723,0119528
0459170,0077631
0002653,0163025
0000361,0117060
0000318,0133152
0000229,0087469
0005190,0100405
0855035,0386588
0001628,0084805
0001716,0092099
0268370,0129387
0757858,0268380
0339030,0372183
0265363,0090555
0000709,0338348
0001060,0104431
0269463,0319343
0005509,0368891
0001469,0095953
0000583,0118571
0000165,0112384
0905152,0133093
0873779,0101414
0118333,0120855
0000165,0268978
0551128,0299658
0000559,0094137
0005366,0212338
0721817,0102798
0000631,0212985
0000229,0264464
0240797,0142342
0936404,0059742
0000318,0103776
0005124,0120623
0178997,0120484
0074426,0307453
0848414,0246460
0001351,0070735
0001628,0106918
0781842,0398165
0001741,0120903
0005540,0175142
0001490,0093010
0000709,0161081
0814085,0120616
1103162,0120667
0000709,0096438
0001716,0092644
0001081,0116695
0331532,0267913
0314671,0055254
0005190,0163187
0181902,0089880
0609236,0181852
0001102,0087363
0000985,0119822
0001149,0097733
0000116,0111503
0213450,0275847
0736930,0252866
0664756,0111070
0001639,0343818
0001149,0104714
0003418,0232500
0858525,0118998
0000824,0076666
0718627,0061852
0000484,0077975
0300265,0114148
0001661,0104257
0003418,0295701
0711840,0120812
0617130,0185937
0001460,0120647
0002132,0097778
0591450,0164912
0788940,0073629
0001915,0105417
0905152,0242653
0501185,0304669
0506613,0349205
0000881,0172156
0001814,0119217
0000231,0091763
0500343,0130623
0001104,0120689
0000165,0117438
0378893,0115433
0000386,0120685
0006625,0100758
0001723,0129290
0000338,0068646
0001149,0078346
0000881,0117500
0227540,0371606
0781842,0305224
0000583,0332452
0788202,0305669
0000487,0286716
0000229,0181689
0922346,0146316
0001129,0102926
0002653,0097523
0505152,0109813
0005222,0169547
0000431,0084434
0001149,0122151
0000142,0405159
0000431,0350258
0000217,0338751
0000142,0327056
0420941,0340855
0005237,0159365
0000591,0253474
0197636,0274558
0005069,0268126
0298807,0139654
0286975,0285742
0264236,0280778
0001752,0195685
0001752,0181865
0000438,0183659
0005303,0171804
0002120,0124315
0003506,0172493
0006960,0138097
0000905,0118799
0001707,0118564
0000436,0119488
0005237,0116209
0382956,0117631
0001054,0116282
0000154,0112573
0001214,0113627
0000209,0112818
0001741,0114814
0000095,0113819
0724798,0109306
0000318,0109707
0000095,0109348
0000229,0108052
0001129,0107818
0001005,0107822
0000142,0105695
0000976,0105323
0412465,0104454
0528718,0104952
0881038,0101587
0000416,0101889
0775447,0100486
0001661,0100157
0000217,0099685
0000915,0097239
0006487,0097937
0001880,0097441
0000231,0096969
0438279,0094608
0187769,0095159
0001410,0094606
0000934,0093389
0000231,0094291
0422484,0093565
0000361,0094226
0000217,0090863
0354279,0090830
0000095,0091167
0001628,0089755
0002199,0089424
0557751,0090203
0000165,0088933
0001379,0089841
0001232,0086879
0000914,0087921
0423646,0087553
0000180,0087892
0000985,0086425
0000915,0086423
0001837,0086617
0000277,0083987
0001587,0084707
0399853,0082158
0753073,0082846
0330619,0082031
0000886,0082979
0000602,0081283
0000217,0081398
0000776,0080549
0001129,0081150
0000914,0079417
0728688,0079638
0000797,0078841
0001047,0077416
0000797,0077362
0006889,0077289
0000095,0075686
0006889,0076095
0003593,0076245
0000814,0075148
0001486,0074958
0001587,0074119
0001232,0073486
0006889,0073766
0000797,0073692
0000338,0071562
0005196,0071598
0000217,0071115
0001486,0071877
0000814,0070640
0291035,0070819
0108745,0070509
0000953,0070510
0002080,0068327
0441501,0068326
0001243,0067116
0001587,0067309
0000953,0067328
0769874,0066206
0001692,0066579
0000180,0066319
0780833,0065377
0772259,0064665
0368871,0065126
0623768,0064840
0001628,0065088
0757256,0064117
0715346,0063385
0625680,0062794
0943758,0062994
0343260,0063654
0000591,0063522
0422484,0061811
0006452,0061735
0742341,0061512
0671957,0061418
0001566,0061722
0003593,0060665
0001566,0061184
0000697,0060424
0799033,0059017
0772259,0059084
0168641,0059798
0337885,0059573
0002030,0058385
0829038,0058331
0202088,0058672
0128050,0057831
0724798,0057590
0625680,0057251
0728688,0057163
0002190,0057634
0000180,0056172
0612322,0056592
0671957,0056241
0112218,0056541
0730385,0055614
0006452,0055031
0001120,0054749
0936404,0055614
0000697,0053604
0112218,0053793
0542702,0053622
0000040,0054331
0943758,0052618
0002338,0053226
0828419,0052738
0591486,0051658
0542720,0052182
0936404,0051758
0943758,0051411
0000180,0050212
0425913,0051077
0517597,0050933
0027183,0048960
