actor_id,movie_id
0000138,0120338
0000701,0120338
0000708,0120338
0000870,0120338
0000200,0120338
0000434,0076759
0000148,0076759
0000402,0076759
0001088,0076759
0000027,0076759
0000196,0298148
0000552,0298148
0000139,0298148
0000267,0298148
0000104,0298148
0001794,0083866
0908914,0083866
0534085,0083866
0000106,0083866
0001075,0083866
0000553,0120915
0000191,0120915
0000204,0120915
0005157,0120915
0000278,0120915
0001497,0145487
0000353,0145487
0000379,0145487
0290556,0145487
0731772,0145487
0000191,0121766
0000204,0121766
0159789,0121766
0001519,0121766
0000168,0121766
0032370,0167260
0040012,0167260
0000276,0167260
0040058,0167260
0045324,0167260
0001497,0316654
0000379,0316654
0290556,0316654
0000547,0316654
0365281,0316654
0001029,0335345
0000899,0335345
0314358,0335345
0605164,0335345
0748207,0335345
0000554,0107290
0000368,0107290
0000156,0107290
0000277,0107290
0669629,0107290
0000704,0167261
0005212,0167261
0000239,0167261
0001557,0167261
0000276,0167261
0000983,0266543
0001122,0266543
1071252,0266543
0000353,0266543
0004951,0266543
0000158,0109830
0000705,0109830
0000641,0109830
0932112,0109830
0000398,0109830
0001795,0110357
0000111,0110357
0915868,0110357
0930990,0110357
0000460,0110357
0001321,0241527
0001749,0241527
0001059,0241527
1196732,0241527
0705356,0241527
0032370,0120737
0000276,0120737
1019674,0120737
0000293,0120737
0000949,0120737
0000191,0121765
0000204,0121765
0159789,0121765
0000489,0121765
0000168,0121765
0000434,0086190
0000148,0086190
0000402,0086190
0001850,0086190
0000355,0086190
0000597,0116629
0001521,0116629
0000156,0116629
0002139,0116629
0171513,0116629
0000136,0325980
0001691,0325980
0089217,0325980
0461136,0325980
0202603,0325980
0000246,0167404
0005286,0167404
0001057,0167404
0931404,0167404
0059215,0167404
0000434,0080684
0000148,0080684
0000402,0080684
0001850,0080684
0000355,0080684
0843059,0330373
0001758,0330373
0855039,0330373
0705356,0330373
0914612,0330373
0000346,0099785
0000582,0099785
0827663,0099785
0001334,0099785
0089348,0099785
1670137,0363771
1342727,0363771
0608440,0363771
0691600,0363771
0842770,0363771
0030991,0234215
0031655,0234215
1060253,0234215
1369391,0234215
0048127,0234215
0000134,0290002
0001774,0290002
0000163,0290002
0000659,0290002
0001100,0290002
0000196,0126029
0000552,0126029
0000139,0126029
0001475,0126029
0001993,0126029
0705356,0295297
0914612,0295297
0342488,0295297
0341743,0295297
0789716,0295297
0005266,0317705
0000456,0317705
0000168,0317705
0005134,0317705
0521861,0317705
0000120,0170016
0597410,0170016
0001787,0170016
0004724,0170016
0410347,0170016
0001702,0073195
0001727,0073195
0000377,0073195
0308882,0073195
0358069,0073195
0000422,0198781
0000345,0198781
0316701,0198781
0000114,0198781
0000336,0198781
0000474,0096895
0000197,0096895
0000107,0096895
0943237,0096895
0385757,0096895
0000169,0119654
0000226,0119654
0000400,0119654
0000352,0119654
0001800,0119654
0705356,0304141
0341743,0304141
0274913,0304141
0789716,0304141
0577982,0304141
0000158,0120363
0000741,0120363
0000349,0120363
0001288,0120363
0725543,0120363
0000120,0315327
0000151,0315327
0000098,0315327
0001311,0315327
0004738,0315327
0000148,0082971
0000261,0082971
0293550,0082971
0479951,0082971
0722636,0082971
0000166,0117998
0000200,0117998
0000144,0117998
0000415,0117998
0000450,0117998
0889522,0259446
0179173,0259446
0443577,0259446
0176073,0259446
0137140,0259446
0000195,0087332
0000101,0087332
0000244,0087332
0000601,0087332
0001548,0087332
0000552,0086960
0001662,0086960
0039226,0086960
0002060,0086960
0001074,0086960
0000129,0407304
0266824,0407304
0154226,0407304
0001584,0407304
0000209,0407304
0584052,0162222
0925096,0162222
0162904,0162222
0111948,0162222
1329048,0162222
0000156,0119567
0000194,0119567
0000592,0119567
0000277,0119567
0000681,0119567
0000154,0286106
0001618,0286106
0191412,0286106
1113550,0286106
0427728,0286106
0000329,0266915
0000676,0266915
0518821,0266915
0955471,0266915
0761052,0266915
0000245,0107614
0000398,0107614
0000112,0107614
0001213,0107614
0391072,0107614
0000664,0099653
0000193,0099653
0000155,0099653
0001282,0099653
0493026,0099653
0918334,0103639
0000245,0103639
0488306,0103639
0293455,0103639
0919798,0103639
0000158,0120815
0122653,0120815
0001744,0120815
0000354,0120815
0001111,0120815
0915208,0360717
0085312,0360717
0004778,0360717
0470981,0360717
0004988,0360717
0000129,0120755
0779084,0120755
0628601,0120755
0000609,0120755
0746896,0120755
0001772,0290334
0413168,0290334
0005212,0290334
0000932,0290334
0000463,0290334
0000196,0295178
0461498,0295178
0001293,0295178
0001868,0295178
0001822,0295178
0000150,0088763
0000502,0088763
0000670,0088763
0000417,0088763
0001855,0088763
0005562,0396269
0000681,0396269
0000686,0396269
1046097,0396269
0279545,0396269
0000136,0367594
0383603,0367594
0446303,0367594
0000307,0367594
0852965,0367594
0000196,0145660
0001287,0145660
0001868,0145660
0001822,0145660
0000507,0145660
0000288,0372784
0000323,0372784
0000553,0372784
0005017,0372784
0000198,0372784
0000216,0103064
0000157,0103064
0000411,0103064
0001598,0103064
0608012,0103064
0000995,0070047
0001884,0070047
0588553,0070047
0002011,0070047
0935345,0070047
0000409,0209163
0001838,0209163
0001314,0209163
0903677,0209163
0004912,0209163
0000246,0120591
0000671,0120591
0000255,0120591
0000239,0120591
0001599,0120591
0593775,0031381
0641966,0031381
0000046,0031381
0450810,0031381
0751946,0031381
0000255,0213149
0001326,0213149
0000295,0213149
0000421,0213149
0000685,0213149
0000148,0097576
0000125,0097576
0001186,0097576
0233145,0097576
0722636,0097576
0001774,0351283
0001674,0351283
0001710,0351283
0000586,0351283
0056187,0351283
0000158,0114709
0000741,0114709
0725543,0114709
0001815,0114709
0001728,0114709
0000169,0120912
0000226,0120912
0206257,0120912
0001223,0120912
0424216,0120912
0000128,0172495
0001618,0172495
0001567,0172495
0001657,0172495
0001321,0172495
0000598,0319262
0350453,0319262
0002536,0319262
0005231,0319262
0761587,0319262
0000093,0356910
0001401,0356910
0000681,0356910
0111013,0356910
0913488,0356910
0041165,0029583
0118081,0029583
0143314,0029583
0172287,0029583
0173418,0029583
0000126,0099348
0001521,0099348
0001295,0099348
0002110,0099348
0922671,0099348
0000174,0112462
0000169,0112462
0000120,0112462
0000173,0112462
0000563,0112462
0000148,0106977
0000169,0106977
0000688,0106977
0000194,0106977
0001592,0106977
0000123,0240772
0083781,0240772
0634342,0240772
0282665,0240772
1131138,0240772
0000154,0207201
0000166,0207201
0000673,0207201
0000257,0207201
0424534,0207201
0000123,0177971
0000242,0177971
0000178,0177971
0000261,0177971
0001209,0177971
0000120,0119528
0005491,0119528
0178176,0119528
0000144,0119528
0359774,0119528
0000237,0077631
0000556,0077631
0000330,0077631
0001063,0077631
0669046,0077631
0000554,0163025
0000513,0163025
0000495,0163025
0005273,0163025
0605080,0163025
0000129,0117060
0000685,0117060
0000322,0117060
0001089,0117060
0000606,0117060
0000242,0133152
0000619,0133152
0000307,0133152
0003817,0133152
0316079,0133152
0000148,0087469
0001009,0087469
0702841,0087469
0700869,0087469
0786022,0087469
0000152,0100405
0000210,0100405
0000897,0100405
0004517,0100405
0000624,0100405
0000226,0386588
0578949,0386588
0416673,0386588
0005520,0386588
1024264,0386588
0000163,0084805
0001448,0084805
0000414,0084805
0001056,0084805
0001164,0084805
0000129,0092099
0000534,0092099
0000174,0092099
0000381,0092099
0000643,0092099
0000139,0129387
0000369,0129387
0001774,0129387
0262968,0129387
0254402,0129387
0005380,0268380
0000491,0268380
0001459,0268380
0899681,0268380
0085312,0268380
0000354,0372183
0004376,0372183
0004051,0372183
0005466,0372183
0881631,0372183
0001357,0090555
0468957,0090555
0576851,0090555
0347858,0090555
0802032,0090555
0000158,0338348
0366667,0338348
0214430,0338348
0310850,0338348
0778642,0338348
0000346,0104431
0000582,0104431
0827663,0104431
0001573,0104431
0001334,0104431
0002071,0319343
0001001,0319343
0627878,0319343
0000799,0319343
0005460,0319343
0000115,0368891
1208167,0368891
0058581,0368891
0000293,0368891
0000685,0368891
0000163,0095953
0000129,0095953
0000420,0095953
0596520,0095953
0613789,0095953
0000148,0118571
0000198,0118571
0000335,0118571
0187724,0118571
0560093,0118571
0000158,0112384
0000200,0112384
0000102,0112384
0000641,0112384
0000438,0112384
0000206,0133093
0000401,0133093
0005251,0133093
0915989,0133093
0001592,0133093
0641314,0101414
0000913,0101414
0925369,0101414
0001583,0101414
0001773,0101414
0001282,0120855
0000378,0120855
0000335,0120855
0000306,0120855
0001329,0120855
0000128,0268978
0000438,0268978
0000124,0268978
0001626,0268978
0079273,0268978
0000250,0299658
0001876,0299658
0000152,0299658
0001451,0299658
0000604,0299658
0000633,0094137
0000430,0094137
0001101,0094137
0001802,0094137
0171513,0094137
0000134,0212338
0001774,0212338
0001632,0212338
0001100,0212338
0215015,0212338
0000126,0102798
0000151,0102798
0001512,0102798
0000225,0102798
0000614,0102798
0000164,0212985
0000194,0212985
0316284,0212985
0000198,0212985
0000501,0212985
0000138,0264464
0000158,0264464
0000686,0264464
0000640,0264464
0000882,0264464
0001191,0142342
0000725,0142342
0829537,0142342
0819850,0142342
0819851,0142342
0000267,0059742
0001626,0059742
0662223,0059742
0370821,0059742
0939931,0059742
0000474,0103776
0000362,0103776
0000201,0103776
0000686,0103776
0001284,0103776
0004929,0120623
0000228,0120623
0000506,0120623
0659363,0120623
0226887,0120623
0001191,0120484
0000870,0120484
0000103,0120484
0001857,0120484
0715477,0120484
0000226,0307453
0000134,0307453
0000250,0307453
0085312,0307453
0001401,0307453
0000112,0246460
0000932,0246460
0827170,0246460
0683253,0246460
0950935,0246460
0000056,0070735
0000602,0070735
0001727,0070735
0001164,0070735
0001827,0070735
0000129,0106918
0000675,0106918
0000432,0106918
0001358,0106918
0455767,0106918
0001191,0398165
0001674,0398165
0000608,0398165
0625099,0398165
1664542,0398165
0413168,0120903
0001772,0120903
0005212,0120903
0000463,0120903
0005188,0120903
0001182,0175142
0792156,0175142
0601214,0175142
0046420,0175142
0334175,0175142
0000140,0093010
0000335,0093010
0000271,0093010
0490477,0093010
0659573,0093010
0000148,0161081
0000201,0161081
0769311,0161081
0608012,0161081
0001664,0161081
0000409,0120616
0001838,0120616
0001314,0120616
0903677,0120616
0640413,0120616
0344435,0120667
0004695,0120667
0262635,0120667
0004821,0120667
0573037,0120667
0001364,0096438
0000502,0096438
0001026,0096438
0281486,0096438
0443401,0096438
0000552,0092644
0001662,0092644
0039226,0092644
0001638,0092644
0001074,0092644
0000129,0116695
0000421,0116695
0000250,0116695
0000593,0116695
0005278,0116695
0005327,0267913
0001264,0267913
0000498,0267913
0004802,0267913
0000100,0267913
0001792,0055254
0314867,0055254
0061770,0055254
0200017,0055254
0942220,0055254
0000210,0163187
0000152,0163187
0000349,0163187
0001185,0163187
0001854,0163187
0000230,0089880
0001077,0089880
0621008,0089880
0000925,0089880
0630100,0089880
0000216,0181852
0001763,0181852
0000132,0181852
0518085,0181852
0028625,0181852
0002090,0087363
0000121,0087363
0001924,0087363
0564589,0087363
0391072,0087363
0000197,0119822
0000166,0119822
0001427,0119822
0000421,0119822
0000240,0119822
0000154,0097733
0000418,0097733
0000582,0097733
0000722,0097733
0640299,0097733
0000216,0111503
0000130,0111503
0000792,0111503
0000200,0111503
0000119,0111503
0153738,0275847
0761498,0275847
0000119,0275847
0001773,0275847
0567852,0275847
0004755,0252866
0002436,0252866
0004989,0252866
0005098,0252866
0005272,0252866
0000741,0111070
0187724,0111070
0001662,0111070
0005156,0111070
0472710,0111070
0000226,0343818
0005256,0343818
0876138,0343818
0000342,0343818
0339304,0343818
0000154,0104714
0000418,0104714
0000582,0104714
0000623,0104714
0934179,0104714
0908094,0232500
0004874,0232500
0735442,0232500
0108287,0232500
0950935,0232500
0000552,0118998
0001115,0118998
0001624,0118998
0001967,0118998
0771493,0118998
0000237,0076666
0331186,0076666
0587944,0076666
0129955,0076666
0660407,0076666
0365201,0061852
0001982,0061852
0697515,0061852
0001695,0061852
0001359,0061852
0000004,0077975
0001513,0077975
0006893,0077975
0089244,0077975
0001371,0077975
0065942,0114148
0474122,0114148
0000154,0114148
0001773,0114148
0440885,0114148
0000129,0104257
0000197,0104257
0000193,0104257
0000102,0104257
0000662,0104257
0004874,0295701
0000782,0295701
0190744,0295701
0000168,0295701
0740220,0295701
0504962,0120812
0000329,0120812
0929489,0120812
0002245,0120812
0514783,0120812
0231946,0185937
0502671,0185937
0931321,0185937
0341124,0185937
0454865,0185937
0000380,0120647
0000495,0120647
0000704,0120647
0000603,0120647
0000151,0120647
0000237,0097778
0000263,0097778
0001156,0097778
0001719,0097778
0001820,0097778
0000150,0164912
0000133,0164912
0491402,0164912
0005151,0164912
0001447,0164912
0000347,0073629
0000215,0073629
0000960,0073629
0639782,0073629
0703946,0073629
0000155,0105417
0001749,0105417
0001562,0105417
0538655,0105417
0926897,0105417
0019569,0242653
1470128,0242653
0048127,0242653
0063571,0242653
0068206,0242653
0000741,0304669
0593310,0304669
0472710,0304669
0005156,0304669
0001662,0304669
0000188,0349205
0001372,0349205
0005305,0349205
0919991,0349205
0240381,0349205
0001454,0172156
0000226,0172156
0003244,0172156
0005517,0172156
0001780,0172156
0000245,0119217
0000354,0119217
0000255,0119217
0001745,0119217
0000378,0119217
0000297,0091763
0000353,0091763
0000221,0091763
0001845,0091763
0005331,0091763
0000665,0130623
0005569,0130623
0001115,0130623
0143295,0130623
0659363,0130623
0000158,0120689
0001556,0120689
0001372,0120689
0003817,0120689
0000342,0120689
0000154,0117438
0000623,0117438
0634509,0117438
0000641,0117438
0005148,0117438
0000335,0115433
0001099,0115433
0000613,0115433
0687506,0115433
0491402,0115433
0000111,0120685
0000606,0120685
0001623,0120685
0000279,0120685
0242656,0120685
0387432,0100758
0000480,0100758
0656929,0100758
0785435,0100758
0286335,0100758
0000245,0129290
0518687,0129290
0005321,0129290
0000450,0129290
0348409,0129290
0000008,0068646
0000199,0068646
0001001,0068646
0144710,0068646
0000380,0068646
0000008,0078346
0000432,0078346
0001659,0078346
0000885,0078346
0178114,0078346
0000125,0117500
0000115,0117500
0000438,0117500
0817983,0117500
0001556,0117500
0103785,0371606
0005190,0371606
0461455,0371606
0001772,0371606
0781238,0371606
0001191,0305224
0000197,0305224
0000673,0305224
0350079,0305224
0521781,0305224
0002103,0332452
0004051,0332452
0428923,0332452
0549539,0332452
0808559,0332452
0000188,0305669
0001451,0305669
0506405,0305669
0687506,0305669
0005443,0305669
0051509,0286716
0000124,0286716
0000385,0286716
0524197,0286716
0000560,0286716
0000129,0181689
0268199,0181689
0004996,0181689
0001884,0181689
0608090,0181689
0001401,0146316
0000685,0146316
0322513,0146316
